"lemma","n"
"say",224
"have",217
"see",125
"make",122
"man",117
"be",109
"other",85
"come",81
"think",81
"find",79
"take",76
"eye",75
"thing",72
"hand",71
"more",70
"death",69
"know",69
"such",68
"many",67
"matter",67
"own",67
"fall",65
"length",65
"night",65
"wall",65
"day",63
"give",63
"time",62
"look",58
"seem",58
"long",56
"whole",56
"life",54
"word",52
"great",51
"feel",49
"speak",49
"idea",48
"little",48
"certain",44
"letter",44
"minute",44
"pass",44
"place",44
"form",43
"sleep",43
"leave",42
"body",41
"call",41
"character",41
"condition",41
"few",41
"heart",41
"moment",41
"sound",41
"water",41
"go",40
"head",40
"house",40
"last",40
"mind",40
"person",40
"reason",40
"become",39
"king",39
"first",38
"lay",38
"light",38
"spirit",38
"thought",38
"foot",36
"much",36
"friend",35
"good",35
"hour",35
"perceive",35
"point",35
"remain",35
"soul",35
"arm",34
"horror",34
"mean",34
"mere",34
"fact",33
"period",33
"stand",33
"black",32
"full",32
"hear",32
"put",32
"regard",32
"appear",31
"chamber",31
"fail",31
"proceed",31
"question",31
"voice",31
"year",31
"room",30
"same",30
"step",30
"world",30
"attempt",29
"effect",29
"manner",29
"open",29
"ordinary",29
"prefect",29
"struggle",29
"turn",29
"attention",28
"deep",28
"do",28
"grow",28
"motion",28
"part",28
"portion",28
"action",27
"apartment",27
"continue",27
"figure",27
"half",27
"lip",27
"present",27
"terror",27
"account",26
"bed",26
"case",26
"doubt",26
"hang",26
"latter",26
"possible",26
"search",26
"cause",25
"design",25
"die",25
"floor",25
"nature",25
"observe",25
"old",25
"reach",25
"sense",25
"air",24
"animal",24
"appearance",24
"close",24
"effort",24
"endeavor",24
"large",24
"sit",24
"state",24
"throw",24
"way",24
"door",23
"end",23
"face",23
"general",23
"heaven",23
"object",23
"power",23
"remember",23
"rock",23
"term",23
"valdemar",23
"blood",22
"enter",22
"follow",22
"impossible",22
"principle",22
"purpose",22
"reply",22
"result",22
"suppose",22
"tree",22
"true",22
"wild",22
"arise",21
"book",21
"desire",21
"difficulty",21
"discovery",21
"get",21
"let",21
"lose",21
"tell",21
"work",21
"admit",20
"arrive",20
"countenance",20
"dark",20
"degree",20
"dream",20
"escape",20
"extent",20
"fancy",20
"force",20
"hope",20
"human",20
"memory",20
"minister",20
"occasion",20
"one",20
"patient",20
"region",20
"right",20
"shadow",20
"small",20
"truth",20
"understand",20
"vast",20
"vault",20
"window",20
"arrest",19
"cat",19
"clock",19
"discover",19
"fire",19
"god",19
"grave",19
"hold",19
"lie",19
"low",19
"move",19
"pain",19
"pause",19
"render",19
"return",19
"several",19
"subject",19
"ultimate",19
"bring",18
"direction",18
"hideous",18
"lady",18
"movement",18
"palace",18
"presence",18
"read",18
"second",18
"similar",18
"substance",18
"suffer",18
"usual",18
"very",18
"break",17
"creature",17
"example",17
"extend",17
"gold",17
"lead",17
"mesmeric",17
"month",17
"next",17
"particular",17
"red",17
"sentiment",17
"set",17
"singular",17
"vain",17
"wife",17
"circumstance",16
"exist",16
"family",16
"fell",16
"influence",16
"interest",16
"interval",16
"laugh",16
"occur",16
"position",16
"rudimental",16
"shudder",16
"silence",16
"slumber",16
"stone",16
"succeed",16
"surface",16
"terrible",16
"white",16
"answer",15
"approach",15
"aware",15
"brain",15
"descent",15
"despair",15
"dread",15
"entire",15
"expression",15
"fearful",15
"feature",15
"feeling",15
"forget",15
"increase",15
"instant",15
"iron",15
"peculiar",15
"prison",15
"river",15
